Alert,Username,Source IP,Destination IP,Source Asset,Destination Asset,Source Account,Destination Account,Source Port,Destination Port,Error Code,Event ID,Affected Workload,Log Source,Scheduled Task Name,Firewall Name,Service,Object ID/Target User ID,Logon Type,Computer Name,Hostname,Timestamp
Multiple login failures for the same User - Windows,user9129,95.145.183.161,103.142.47.61,Asset61,Asset96,source_account256,destination_account879,19584,26499,ERR8212,EVT6897,OneDrive,log_source70,task_5,firewall_19,service_8,cc466879-bc8a-45f2-928a-fa723e0a27ca,Network,comp_79,host_79,2024-07-10 10:30:50
User Account Was Locked out,user4008,159.163.125.86,163.38.123.120,Asset2,Asset26,source_account878,destination_account380,33384,41378,ERR4314,EVT4780,Exchange,log_source22,task_37,firewall_7,service_16,7c7e0661-0e10-4680-92a5-bfe8188919d6,Interactive,comp_80,host_13,2024-07-16 15:52:07
User Added to Office 365 Administrator Role,user9079,250.106.147.79,20.143.174.183,Asset8,Asset81,source_account119,destination_account943,3598,36484,ERR3059,EVT1726,OneDrive,log_source60,task_30,firewall_18,service_2,d551f8d6-e91e-4216-8ba4-5eb4c36bca07,RemoteInteractive,comp_74,host_49,2024-07-16 12:05:46
Removal of Exchange Mailbox Right Delegation,user8898,211.219.192.190,61.159.199.102,Asset58,Asset50,source_account766,destination_account14,19142,26437,ERR2540,EVT4915,SharePoint,log_source38,task_43,firewall_14,service_2,24a730bb-965c-4479-86b9-fd33828f1862,Network,comp_66,host_41,2024-07-29 03:10:55
A Scheduled Task Was Disabled,user1177,65.6.70.71,39.193.118.243,Asset86,Asset89,source_account89,destination_account383,56691,42356,ERR7367,EVT3260,Teams,log_source57,task_32,firewall_5,service_33,afaafdbb-258c-450d-a586-00c1d0ba6a03,Network,comp_45,host_39,2024-07-14 02:03:18
Alerting to Successful Login from Foreign IP,user5254,213.237.213.7,75.27.173.166,Asset87,Asset54,source_account727,destination_account98,30817,16472,ERR3607,EVT3390,Teams,log_source65,task_44,firewall_10,service_4,6fd1f87b-8992-4893-bbdf-219d264df0fe,RemoteInteractive,comp_28,host_57,2024-07-11 05:23:03
Mass file delete,user6515,179.21.204.112,155.170.55.85,Asset91,Asset5,source_account245,destination_account954,23949,46510,ERR5104,EVT7660,SharePoint,log_source2,task_36,firewall_4,service_6,279df52b-1739-454c-aa87-7c0e6ac2a339,RemoteInteractive,comp_28,host_42,2024-07-30 19:08:57
A User Account Was Deleted,user5810,64.67.250.3,237.71.38.157,Asset21,Asset76,source_account319,destination_account226,55280,21419,ERR5530,EVT3841,OneDrive,log_source15,task_39,firewall_17,service_2,21fd4d71-fe95-430d-95be-2234806e4219,Network,comp_2,host_60,2024-07-23 11:56:43
MFA Removed from a Device,user8815,172.116.44.89,237.251.37.211,Asset10,Asset86,source_account709,destination_account580,26116,62162,ERR9249,EVT9696,OneDrive,log_source82,task_7,firewall_20,service_13,92ccc92c-dc11-4582-93ef-50e4c3c1c96a,RemoteInteractive,comp_43,host_62,2024-07-16 09:53:25
User Added to Office 365 Administrator Role,user8575,26.16.31.179,45.84.99.121,Asset20,Asset28,source_account816,destination_account792,6029,63031,ERR3468,EVT1756,Teams,log_source7,task_6,firewall_19,service_34,66a3ef95-fd7a-415d-b881-03b40125addf,RemoteInteractive,comp_30,host_56,2024-07-06 19:16:05
MFA Removed from a Device,user1221,162.154.255.30,130.115.31.29,Asset15,Asset63,source_account278,destination_account82,4343,4806,ERR1498,EVT9432,SharePoint,log_source82,task_48,firewall_8,service_28,134016ee-7f4a-404b-8515-29ea174d5008,RemoteInteractive,comp_16,host_89,2024-07-25 16:43:30
Mass file delete,user2840,167.250.181.164,15.82.148.142,Asset28,Asset83,source_account435,destination_account759,35538,58998,ERR8308,EVT1069,SharePoint,log_source67,task_14,firewall_9,service_14,393d51f8-97f5-4f02-b1f9-919abe8048e0,Interactive,comp_40,host_21,2024-07-06 13:48:10
Multiple login failures for the same User - Windows,user9472,89.106.245.120,84.143.213.91,Asset75,Asset33,source_account86,destination_account388,8880,56311,ERR5254,EVT8026,OneDrive,log_source28,task_45,firewall_15,service_7,fb7abeb4-6247-4807-a3c8-4014b67f1b3b,Interactive,comp_46,host_39,2024-07-24 09:05:01
Mass file delete,user2627,23.245.153.208,202.187.226.94,Asset90,Asset9,source_account150,destination_account149,53735,11985,ERR2493,EVT7969,SharePoint,log_source20,task_50,firewall_6,service_39,5c582c21-9261-4d84-890d-6524b09f5e43,Interactive,comp_78,host_47,2024-07-17 20:41:12
Multiple VPN login failures for the same User,user5832,193.55.161.254,8.54.194.214,Asset32,Asset40,source_account303,destination_account244,36860,10054,ERR7280,EVT6066,OneDrive,log_source2,task_7,firewall_10,service_24,5606d62e-2a2e-4abc-a693-2b99ae335755,RemoteInteractive,comp_34,host_83,2024-07-05 02:10:37
Mass file download by single user - O365 remotely access 4 new assets,user6792,47.250.212.140,253.16.53.255,Asset13,Asset65,source_account72,destination_account727,37087,24017,ERR3850,EVT4461,Teams,log_source87,task_15,firewall_1,service_18,b56ad4b2-5520-433c-ae16-1ceb3040b323,Network,comp_7,host_53,2024-07-15 13:44:00
User Account Was Locked out,user6167,181.198.152.118,145.102.186.52,Asset40,Asset15,source_account84,destination_account108,22824,1876,ERR9703,EVT3107,OneDrive,log_source100,task_10,firewall_14,service_25,e7ae7537-cdc2-4f5e-963a-e62d0b4e00e0,Interactive,comp_6,host_33,2024-07-20 20:14:52
Mass file delete by single user - O365,user1713,63.167.244.244,61.29.95.69,Asset14,Asset20,source_account734,destination_account432,61296,44851,ERR6569,EVT9631,Teams,log_source11,task_38,firewall_10,service_31,9aacb67d-702c-467f-b64a-33edd40bc811,Interactive,comp_75,host_34,2024-07-23 17:05:31
Mass file delete,user4013,163.166.109.28,179.144.118.12,Asset30,Asset66,source_account524,destination_account88,12962,27144,ERR8258,EVT8950,Exchange,log_source69,task_32,firewall_20,service_7,95844987-9240-4874-a4f6-cc05b5efbbac,Network,comp_22,host_83,2024-07-20 14:30:28
Multiple login failures for the same User - Windows,user4931,19.117.42.44,178.88.182.33,Asset91,Asset91,source_account526,destination_account898,17284,7234,ERR1785,EVT3219,SharePoint,log_source54,task_31,firewall_5,service_25,28218bf9-35f6-41c2-80a9-86570131d243,Network,comp_98,host_76,2024-07-07 06:46:40
Mass file delete by single user - O365,user4195,225.190.63.48,52.154.114.141,Asset54,Asset73,source_account193,destination_account251,52633,53701,ERR3874,EVT4291,Exchange,log_source10,task_28,firewall_6,service_17,09a880c9-2ea5-43fc-8459-00e26f8d3834,Network,comp_99,host_83,2024-07-14 01:07:19
Multiple login failures for the same User - Windows,user224,94.118.103.205,219.141.30.96,Asset16,Asset50,source_account643,destination_account75,34928,28798,ERR9321,EVT1256,SharePoint,log_source34,task_20,firewall_8,service_8,812603de-4e12-4c60-a78c-358bb91c4e03,Interactive,comp_60,host_68,2024-07-07 04:50:18
Inbox Forwarding Rule Created,user6128,108.114.6.175,185.15.209.210,Asset23,Asset57,source_account769,destination_account226,38084,9388,ERR8627,EVT7608,OneDrive,log_source23,task_38,firewall_13,service_47,41ff4186-34da-4db8-9ca3-6f52909beec5,Network,comp_81,host_15,2024-07-12 18:49:29
Users or Group Add Operation Detected by User,user4041,27.220.208.13,25.25.118.169,Asset23,Asset46,source_account121,destination_account400,58226,12050,ERR9454,EVT9294,Teams,log_source12,task_43,firewall_12,service_20,8da2cd96-e689-47f8-acbe-14864f7efee6,Interactive,comp_74,host_1,2024-07-14 18:53:24
Account - O365 Exchange Suspicious Mailbox Right Delegation,user5406,209.234.73.73,161.63.159.250,Asset60,Asset61,source_account482,destination_account798,39700,39508,ERR6566,EVT8806,Exchange,log_source7,task_27,firewall_9,service_31,fef125fc-b27b-4428-b1ed-a2810b63b15d,RemoteInteractive,comp_9,host_6,2024-07-16 14:20:07
Account - O365 Exchange Suspicious Mailbox Right Delegation,user4452,119.142.8.186,77.114.162.208,Asset2,Asset76,source_account918,destination_account673,62306,39421,ERR9607,EVT8295,SharePoint,log_source8,task_50,firewall_14,service_23,a8cf91bc-9f87-4829-a56c-9325e0eabaa2,Network,comp_9,host_44,2024-07-17 09:59:44
User Added to Office 365 Administrator Role,user5474,53.213.141.105,167.185.216.53,Asset72,Asset87,source_account872,destination_account411,34404,12038,ERR9010,EVT8198,Teams,log_source97,task_37,firewall_20,service_3,689877f6-64ed-4d21-bbf2-16e3c34555f9,Network,comp_98,host_39,2024-07-07 11:06:27
Users or Group Add Operation Detected by User,user9189,234.168.253.112,122.253.13.14,Asset12,Asset76,source_account767,destination_account327,39388,41874,ERR5354,EVT4912,Exchange,log_source80,task_8,firewall_5,service_16,57bc04c5-b244-42ab-85ad-4fd3b635ce46,Interactive,comp_40,host_1,2024-07-04 19:25:55
Multiple login failures for the same User,user7271,122.137.78.117,39.14.45.91,Asset98,Asset15,source_account763,destination_account266,38811,41120,ERR2467,EVT3701,Teams,log_source72,task_22,firewall_7,service_34,57bf9fb3-2496-456f-8a83-ac7c98f3de6a,Network,comp_82,host_69,2024-07-09 07:07:26
MFA Removed from a Device,user3973,127.46.222.220,149.168.60.233,Asset71,Asset19,source_account994,destination_account451,53658,17903,ERR7342,EVT7987,OneDrive,log_source37,task_13,firewall_15,service_50,17a957a0-73b0-4142-92a5-b4292143a749,RemoteInteractive,comp_6,host_82,2024-07-30 18:22:10
User Account Was Locked out,user2499,90.57.198.137,223.255.107.113,Asset42,Asset75,source_account594,destination_account822,41724,44933,ERR4278,EVT7498,SharePoint,log_source42,task_14,firewall_7,service_25,2bcb8f66-fed0-49d5-a6fd-79dbe7be13b1,RemoteInteractive,comp_60,host_83,2024-07-04 17:21:59
Mass file delete by single user - O365,user2985,20.214.100.232,58.254.129.200,Asset89,Asset76,source_account203,destination_account22,45502,4472,ERR9995,EVT7824,Teams,log_source32,task_26,firewall_7,service_17,ad48678e-da10-44df-a305-06554d45f5a3,Network,comp_17,host_61,2024-07-23 12:08:51
Account - O365 Exchange Suspicious Mailbox Right Delegation,user225,78.126.116.252,160.37.186.223,Asset5,Asset40,source_account584,destination_account74,17641,34153,ERR3770,EVT5496,OneDrive,log_source11,task_42,firewall_16,service_26,d7af82d3-5f6c-4b73-a910-21d20a38b628,RemoteInteractive,comp_21,host_39,2024-07-07 00:34:49
Account - O365 Exchange Suspicious Mailbox Right Delegation,user8907,213.104.181.1,219.202.64.232,Asset4,Asset59,source_account621,destination_account251,54378,52750,ERR9387,EVT4442,SharePoint,log_source65,task_10,firewall_7,service_16,c123dc3c-11e8-40aa-b8b0-cf190506d8c8,Interactive,comp_22,host_15,2024-07-10 11:14:28
Alerting to Successful Login from Foreign IP,user4516,204.144.124.158,137.154.105.180,Asset97,Asset40,source_account729,destination_account169,5286,14556,ERR1584,EVT7577,SharePoint,log_source11,task_38,firewall_10,service_48,6101eeb1-8861-40c5-9404-057bba46dd0a,RemoteInteractive,comp_13,host_100,2024-07-04 07:07:43
Account - O365 Exchange Suspicious Mailbox Right Delegation,user8780,222.246.2.50,184.244.135.184,Asset62,Asset89,source_account735,destination_account119,19047,42346,ERR5928,EVT5150,Teams,log_source12,task_7,firewall_2,service_19,e6ae6df2-a93c-4532-9cdd-cc0e9484ef51,RemoteInteractive,comp_10,host_40,2024-07-27 22:27:53
User Account Was Locked out,user3563,174.30.106.237,132.66.216.88,Asset95,Asset9,source_account261,destination_account301,63847,52357,ERR5576,EVT1676,OneDrive,log_source86,task_19,firewall_1,service_34,a60da083-130b-444d-855b-c61645c50159,Network,comp_73,host_9,2024-07-30 19:32:37
Inbox Forwarding Rule Created,user3639,79.210.161.65,136.130.86.101,Asset37,Asset37,source_account646,destination_account926,15939,14728,ERR7070,EVT6653,OneDrive,log_source43,task_19,firewall_7,service_9,a19cca0d-b23f-4ef1-88b4-03219e60f136,Network,comp_41,host_7,2024-07-21 02:54:55
User Account Was Locked out,user2721,4.119.174.44,143.212.116.4,Asset86,Asset73,source_account782,destination_account138,49906,16213,ERR2612,EVT5474,Teams,log_source11,task_33,firewall_5,service_38,faba0a20-fd04-43a2-b796-e4de7e30ae80,RemoteInteractive,comp_83,host_8,2024-07-19 02:49:56
Inbox Forwarding Rule Created,user8160,160.73.22.182,36.252.115.135,Asset85,Asset95,source_account401,destination_account150,52123,61383,ERR9297,EVT9931,OneDrive,log_source83,task_29,firewall_3,service_41,9c660ad3-bba5-4612-8665-8970d053e127,Network,comp_15,host_50,2024-07-22 11:02:55
A User Account Was Deleted,user9529,114.21.145.152,99.134.123.72,Asset45,Asset76,source_account975,destination_account224,61632,32633,ERR6615,EVT4192,SharePoint,log_source70,task_5,firewall_17,service_46,dc8bf9b9-5e86-48fd-a251-8f17ed07c72b,Interactive,comp_93,host_90,2024-07-07 11:46:00
Users or Group Add Operation Detected by User,user6920,152.52.159.151,102.96.54.127,Asset20,Asset13,source_account779,destination_account833,44366,24940,ERR4812,EVT8264,SharePoint,log_source50,task_22,firewall_12,service_31,efa6fff3-b531-485f-9823-15ccbf375063,Interactive,comp_45,host_61,2024-07-27 22:25:57
A Scheduled Task Was Disabled,user7433,210.56.201.72,38.11.193.113,Asset81,Asset36,source_account160,destination_account786,60364,62009,ERR3814,EVT2555,Teams,log_source6,task_26,firewall_4,service_28,30a8ddd7-8845-4fff-9a6c-889acb553b9a,Network,comp_85,host_56,2024-07-04 17:04:20
MFA Removed from a Device,user1687,109.169.30.247,16.179.238.49,Asset3,Asset47,source_account550,destination_account688,50449,19963,ERR5484,EVT5289,Exchange,log_source89,task_47,firewall_18,service_48,ea6f8cef-979a-4083-a3f8-477805a1bdf7,RemoteInteractive,comp_49,host_65,2024-07-24 09:47:31
Removal of Exchange Mailbox Right Delegation,user5162,3.140.154.79,33.22.157.32,Asset55,Asset4,source_account637,destination_account190,54024,47709,ERR1708,EVT1146,SharePoint,log_source77,task_4,firewall_13,service_3,03f13d68-99fc-43c8-b486-d40d34a6f7e4,RemoteInteractive,comp_8,host_53,2024-07-07 02:06:32
User Added to Office 365 Administrator Role,user8345,45.68.17.163,146.139.135.185,Asset39,Asset19,source_account313,destination_account948,3455,37178,ERR1391,EVT2180,Exchange,log_source7,task_6,firewall_2,service_34,71d0b9c0-02f7-4c76-b0ae-d22829773fce,Interactive,comp_10,host_72,2024-07-24 17:38:09
Multiple login failures for the same User,user9529,255.58.251.18,163.151.66.105,Asset82,Asset50,source_account598,destination_account546,35684,33405,ERR8823,EVT5946,OneDrive,log_source32,task_20,firewall_8,service_2,85b1972c-33f3-4406-9433-8b5507fefe00,Network,comp_5,host_100,2024-08-01 11:12:13
Multiple VPN login failures for the same User,user3591,23.162.197.41,61.73.100.253,Asset17,Asset15,source_account585,destination_account54,48207,47346,ERR6210,EVT4886,Teams,log_source62,task_35,firewall_7,service_9,6125981a-a4d2-4de9-bede-d08ea8490e31,RemoteInteractive,comp_72,host_97,2024-07-24 01:42:44
Multiple login failures for the same User,user2919,156.132.144.68,181.122.213.2,Asset44,Asset34,source_account591,destination_account833,20258,38787,ERR6211,EVT7060,OneDrive,log_source26,task_47,firewall_2,service_8,f21a3a1c-067d-4813-8d82-43ac814335b6,Network,comp_85,host_34,2024-07-20 23:35:26
Inbox Forwarding Rule Created,user4712,132.241.186.109,217.233.197.61,Asset81,Asset76,source_account798,destination_account850,30949,44288,ERR3845,EVT4333,Exchange,log_source53,task_14,firewall_4,service_4,c68e9389-c66e-43f9-97a7-14241e85eb28,Network,comp_94,host_25,2024-07-07 08:32:44
IPS Alert Detected,user1729,73.104.26.180,239.249.198.142,Asset94,Asset30,source_account37,destination_account823,3993,58092,ERR9915,EVT4207,SharePoint,log_source91,task_42,firewall_4,service_48,d0a253e5-b4a7-4483-aa70-91775043453d,Network,comp_43,host_52,2024-07-10 15:59:14
